x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
A47,A1,A1,2.0,A0,A0,A2,A2,A1,A1,70.35,A1
A48,A0,A1,51.0,A0,A0,A0,A0,A0,A1,19.1,
A49,A0,A1,17.0,A0,A1,A2,A2,A1,A3,80.05,A0
A50,A0,A1,3.0,A0,A0,A1,A2,A2,A3,64.5,A0
A51,A0,A0,66.0,A0,A1,A2,A1,A2,A1,95.3,A0
A52,A0,A0,26.0,A0,A1,A1,A1,A2,A0,90.1,
A53,A0,A0,14.0,A0,A0,A1,A2,A1,A1,44.6,A0
A54,A0,A0,12.0,A1,A2,A1,A1,A1,A2,29.2,A1
A55,A1,A0,41.0,A0,A1,A2,A2,A1,A3,83.75,A1
A56,A1,A0,1.0,A0,A1,A2,A2,A1,A1,86.05,A1
A57,A0,A1,2.0,A0,A1,A2,A2,A2,A3,94.2,
A58,A1,A0,10.0,A0,A1,A2,A2,A2,A1,85.55,A1
A59,A1,A0,15.0,A0,A1,A2,A2,A1,A1,96.5,A0
A60,A0,A0,22.0,A0,A0,A0,A0,A0,A2,19.9,A0
A61,A1,A1,8.0,A0,A1,A2,A1,A2,A1,105.5,A1
,A1,A1,67.0,A0,A0,A2,A1,A1,A3,92.45,A0
A63,A0,A1,3.0,A0,A1,A2,A2,A1,A1,74.4,A1
A64,A0,A1,23.0,A0,A1,A2,A2,A1,A0,96.9,A0
A65,A0,A1,1.0,A0,A0,A0,A0,A0,A2,19.55,A0
A66,A0,A0,60.0,A0,A0,A1,A1,A2,A0,79.05,
A67,A1,A1,56.0,A0,A1,A2,A2,A2,A1,101.05,A0
A68,A0,A0,72.0,A0,A1,A1,A1,A1,A0,72.1,A0
A69,A0,A0,72.0,A1,A2,A1,A1,A1,A3,42.1,A0
A70,A0,A1,37.0,A0,A0,A1,A2,A2,A1,64.75,
A71,A0,A0,12.0,A1,A2,A1,A2,A2,A3,49.85,
A72,A0,A1,18.0,A0,A1,A1,A2,A1,A2,57.65,A0
A73,A0,A0,72.0,A0,A0,A0,A0,A0,A3,21.0,A0
A74,A0,A1,1.0,A0,A0,A2,A1,A2,A1,85.0,A0
A75,A0,A1,61.0,A0,A1,A2,A1,A2,A1,103.95,A0
,A0,A1,,A0,A0,A0,A0,A0,A3,20.55,
A77,A0,A0,6.0,A0,A0,A2,A1,A2,A0,83.55,A1
A78,A0,A0,,A0,A0,A0,A0,A0,A2,20.1,A0
A79,A0,A0,60.0,A0,A1,A2,A2,A2,A3,109.45,A0
A80,A0,A1,,A0,A0,A2,A2,A1,A1,76.45,A0
A81,A0,A0,47.0,A0,A1,A2,A1,A2,A3,113.45,A0
A82,A0,A0,18.0,A0,A0,A0,A0,A0,A3,20.05,A0
A83,A0,A1,12.0,A0,A0,A0,A0,A0,A2,19.7,A0
A84,A0,A0,39.0,A0,A1,A2,A2,A2,A1,100.0,A0
A85,A0,A1,3.0,A0,A0,A0,A0,A0,A2,19.1,A0
A86,A0,A0,70.0,A0,A1,A1,A1,A1,A3,79.4,A0
A87,A0,A1,62.0,A0,A0,A0,A0,A0,A3,20.0,A0
A88,A0,A0,72.0,A0,A1,A0,A0,A0,A3,25.0,A0
A89,A0,A0,72.0,A0,A1,A1,A1,A2,A1,85.25,A0
A90,A0,A1,1.0,A0,A0,A2,A2,A1,A2,70.6,A1
,A1,A1,12.0,A0,A1,A2,A2,A1,A0,73.3,A0
A92,A1,A1,30.0,A0,A1,A2,A2,A2,A1,101.3,A0
A93,A0,A1,1.0,A0,A0,A2,A2,A2,A1,88.35,A1
A94,A0,A0,67.0,A0,A1,A0,A0,A0,A0,25.25,A0
A95,A1,A1,12.0,A1,A2,A1,A1,A1,A0,29.35,A0
A96,A0,A1,18.0,A0,A0,A2,A2,A1,A1,69.8,A0
A97,A0,A1,34.0,A1,A2,A1,A2,A1,A3,25.05,A0
A98,A0,A0,55.0,A0,A1,A2,A1,A1,A0,77.75,A0
A99,A0,A1,,A0,A0,A1,A2,A2,A1,56.2,A0
A100,A0,A0,24.0,A0,A1,A1,A2,A2,A2,74.8,A0
A101,A1,A0,11.0,A0,A0,A2,A2,A1,A1,82.9,A0
A102,A0,A1,45.0,A1,A2,A1,A2,A1,A3,42.3,A0
A103,A0,A1,15.0,A0,A0,A2,A1,A2,A1,101.25,A1
A104,A0,A0,49.0,A0,A0,A2,A1,A2,A1,94.8,A0
A105,A0,A1,1.0,A0,A0,A2,A1,A1,A1,84.3,A1
A106,A0,A0,61.0,A0,A1,A2,A1,A2,A1,99.15,A1
A107,A0,A0,14.0,A0,A1,A2,A2,A1,A1,91.65,
A108,A0,A0,66.0,A0,A1,A1,A2,A2,A2,84.0,
A109,A0,A1,15.0,A0,A1,A1,A1,A1,A0,58.6,A1
A110,A0,A1,9.0,A0,A0,A2,A1,A1,A1,80.55,A0
A111,A0,A0,57.0,A0,A0,A2,A1,A2,A1,95.0,A0
A112,A1,A0,37.0,A0,A0,A2,A2,A1,A1,90.0,
A113,A0,A0,8.0,A0,A1,A1,A1,A1,A1,55.75,A0
A114,A0,A0,72.0,A0,A1,A2,A1,A2,A0,108.95,A0
A115,A1,A1,25.0,A0,A1,A2,A1,A1,A1,89.5,A1
A116,A0,A1,62.0,A0,A1,A0,A0,A0,A3,23.4,A0
,A0,A1,49.0,A1,A2,A1,A2,A1,A3,30.2,A0
A118,A0,A1,12.0,A0,A0,A2,A2,A2,A1,96.0,A1
A119,A0,A1,11.0,A0,A0,A1,A1,A1,A1,61.25,A0
A120,A0,A1,5.0,A0,A0,A1,A2,A1,A0,63.95,A0
A121,A0,A1,1.0,A1,A2,A1,A2,A1,A2,29.9,A0
A122,A0,A1,9.0,A0,A1,A2,A2,A2,A1,94.4,A1
A123,A0,A1,6.0,A0,A0,A0,A0,A0,A3,20.15,A0
A124,A0,A0,63.0,A0,A1,A2,A2,A2,A0,99.65,A0
A125,A0,A1,1.0,A0,A0,A2,A2,A1,A1,70.05,A1
A126,A0,A1,33.0,A0,A0,A2,A1,A1,A0,79.0,A0
A127,A0,A0,61.0,A0,A1,A1,A1,A2,A1,79.8,A0
A128,A0,A1,62.0,A0,A0,A1,A1,A2,A0,74.3,A0
A129,A0,A1,33.0,A0,A1,A2,A2,A2,A1,83.35,A1
A130,A0,A0,52.0,A0,A0,A2,A2,A1,A3,84.05,A0
A131,A0,A1,11.0,A0,A1,A2,A2,A1,A1,90.15,A1
A132,A0,A1,26.0,A0,A0,A1,A2,A1,A0,59.45,A0
A133,A0,A0,8.0,A0,A0,A2,A2,A1,A2,75.0,A0
,A0,A0,2.0,A0,A1,A1,A2,A1,A2,56.7,A1
A135,A1,A1,67.0,A0,A1,A1,A1,A1,A3,64.55,A0
A136,A0,A0,45.0,A0,A1,A2,A1,A2,A2,113.3,A0
,A0,A1,1.0,A1,A2,A1,A1,A1,A2,33.6,A0
A138,A0,A1,1.0,A0,A0,A2,A2,A1,A2,69.55,
A139,A0,A0,67.0,A0,A1,A2,A1,A2,A3,111.2,A0
A140,A1,A1,35.0,A0,A1,A2,A2,A2,A1,99.05,A0
A141,A0,A0,41.0,A0,A0,A0,A0,A0,A1,19.75,A0
A142,A0,A0,16.0,A0,A0,A2,A1,A2,A3,94.65,A0
A143,A0,A0,19.0,A0,A1,A1,A2,A1,A0,50.1,
A144,A1,A1,6.0,A0,A0,A2,A2,A1,A3,85.15,A1
A145,A0,A0,72.0,A0,A1,A1,A2,A1,A0,66.5,A0
A146,A1,A0,,A1,A2,A1,A1,A1,A1,39.3,A1
A147,A0,A0,1.0,A0,A0,A1,A1,A1,A2,53.55,A0
A148,A0,A0,38.0,A0,A0,A1,A2,A2,A0,81.0,A0
A149,A0,A1,2.0,A0,A0,A1,A2,A1,A0,46.0,A1
A150,A0,A1,7.0,A0,A0,A2,A2,A2,A1,79.3,
A151,A0,A1,19.0,A0,A0,A1,A2,A1,A0,55.0,A1
A152,A0,A0,53.0,A0,A0,A0,A0,A0,A2,20.9,A0
A153,A0,A1,3.0,A0,A0,A0,A0,A0,A2,20.0,A0
A154,A0,A0,12.0,A0,A0,A0,A0,A0,A3,19.8,A1
A155,A0,A0,42.0,A0,A1,A1,A2,A1,A1,50.25,A1
A156,A0,A0,35.0,A0,A1,A0,A0,A0,A1,25.75,A0
A157,A0,A1,26.0,A0,A0,A2,A2,A2,A3,88.8,A1
A158,A0,A0,45.0,A0,A1,A0,A0,A0,A2,24.45,
A159,A1,A0,68.0,A0,A1,A2,A1,A2,A1,100.2,A1
A160,A0,A0,72.0,A0,A1,A2,A1,A2,A3,112.25,A0
A161,A0,A1,45.0,A0,A1,A2,A2,A2,A3,99.7,A0
A162,A0,A1,3.0,A0,A0,A0,A0,A0,A2,18.8,A0
A163,A0,A1,1.0,A0,A0,A2,A1,A1,A1,74.7,
A164,A1,A1,67.0,A0,A0,A2,A1,A2,A1,105.05,A0
A165,A1,A1,1.0,A0,A0,A2,A2,A1,A3,75.3,A1
A166,A1,A0,2.0,A0,A1,A2,A2,A1,A1,79.2,A1
A167,A0,A1,66.0,A0,A1,A2,A1,A1,A3,88.9,A0
A168,A0,A1,2.0,A0,A1,A2,A2,A2,A1,86.0,A1
A169,A0,A0,60.0,A0,A1,A2,A1,A2,A0,115.25,A0
A170,A1,A1,1.0,A0,A0,A1,A2,A1,A1,44.0,A0
A171,A0,A1,10.0,A1,A2,A1,A2,A1,A2,29.75,A0
A172,A0,A1,11.0,A0,A0,A1,A2,A1,A3,53.8,A0
A173,A0,A1,29.0,A0,A1,A1,A1,A1,A1,55.25,A0
A174,A0,A1,5.0,A0,A0,A1,A2,A1,A3,48.65,
A175,A0,A0,26.0,A0,A0,A1,A1,A2,A1,73.05,A0
A176,A0,A1,7.0,A0,A0,A0,A0,A0,A2,19.45,
A177,A0,A0,72.0,A0,A1,A1,A2,A2,A3,84.9,A0
A178,A0,A0,39.0,A0,A1,A0,A0,A0,A2,23.8,A0
A179,A0,A1,2.0,A0,A0,A1,A1,A1,A2,51.55,A0
A180,A0,A0,42.0,A0,A1,A1,A2,A2,A0,80.45,A0
A181,A0,A0,12.0,A0,A0,A0,A0,A0,A1,20.05,
A182,A0,A0,3.0,A1,A2,A1,A2,A2,A1,35.15,
A183,A0,A1,2.0,A0,A0,A1,A1,A1,A2,53.85,A1
A184,A1,A1,,A0,A1,A2,A1,A2,A1,89.85,A1
A185,A0,A0,72.0,A0,A1,A2,A1,A2,A3,104.8,A0
A186,A0,A1,18.0,A0,A0,A0,A0,A0,A2,19.65,A0
A187,A0,A1,40.0,A0,A0,A1,A1,A1,A2,61.9,
A188,A0,A1,18.0,A0,A1,A2,A1,A1,A0,90.0,A1
A189,A0,A1,10.0,A0,A0,A2,A2,A2,A1,94.9,A1
A190,A0,A0,72.0,A0,A1,A2,A1,A1,A3,103.95,A0
A191,A0,A0,62.0,A0,A1,A0,A0,A0,A0,23.75,A0
A192,A0,A1,9.0,A0,A0,A1,A2,A1,A3,44.2,A1
A193,A0,A1,12.0,A0,A0,A0,A0,A0,A2,19.3,A0
A194,A1,A0,57.0,A0,A0,A2,A1,A1,A1,90.65,A0
A195,A0,A1,43.0,A0,A1,A0,A0,A0,A1,25.1,A0
A196,A0,A0,12.0,A1,A2,A1,A1,A1,A2,35.5,A0
A197,A0,A0,35.0,A0,A1,A2,A2,A1,A0,91.5,A0
A198,A0,A0,8.0,A0,A0,A0,A0,A0,A2,19.35,
A199,A0,A1,70.0,A1,A2,A1,A2,A2,A3,58.35,A0
A200,A0,A1,1.0,A0,A1,A2,A2,A1,A1,77.15,A1
A201,A0,A0,0.0,A1,A2,A1,A2,A1,A3,52.55,A0
A202,A0,A1,56.0,A0,A0,A1,A2,A1,A2,52.7,A0
A203,A1,A1,2.0,A0,A0,A2,A2,A2,A1,79.6,A1
A204,A0,A1,1.0,A0,A0,A0,A0,A0,A2,19.65,A1
A205,A0,A1,10.0,A0,A1,A0,A0,A0,A3,25.7,A0
A206,A0,A0,4.0,A0,A0,A2,A2,A1,A1,70.5,A0
A207,A1,A0,65.0,A0,A1,A2,A1,A1,A1,85.75,A0
A208,A1,A0,61.0,A0,A1,A0,A0,A0,A3,25.0,A0
A209,A0,A1,6.0,A0,A1,A2,A2,A1,A1,74.9,A1
A210,A0,A0,47.0,A0,A0,A0,A0,A0,A2,19.65,A0
A211,A1,A1,3.0,A0,A0,A2,A2,A1,A2,75.05,A0
,A0,A0,72.0,A0,A1,A2,A1,A2,A3,108.5,A0
A213,A1,A0,72.0,A0,A1,A2,A1,A2,A0,112.9,
A214,A1,A0,17.0,A0,A0,A2,A2,A2,A3,81.5,A1
A215,A1,A0,8.0,A0,A0,A1,A2,A2,A0,64.4,A0
A216,A0,A1,3.0,A1,A2,A1,A2,A1,A2,34.25,A1
A217,A0,A1,28.0,A0,A0,A1,A1,A1,A1,56.05,A0
A218,A0,A0,62.0,A0,A1,A2,A2,A2,A3,107.6,
A219,A0,A1,2.0,A0,A0,A2,A2,A1,A3,69.75,A1
A220,A0,A1,25.0,A0,A1,A2,A2,A1,A2,84.6,A0
A221,A0,A0,35.0,A0,A0,A2,A2,A1,A1,70.3,A1
A222,A0,A0,,A0,A0,A0,A0,A0,A2,19.2,A0
A223,A0,A0,65.0,A0,A1,A1,A1,A2,A2,69.55,A0
A224,A0,A0,39.0,A0,A0,A1,A2,A1,A2,59.85,A0
A225,A1,A0,68.0,A1,A2,A1,A1,A1,A1,41.95,A0
A226,A1,A1,13.0,A0,A1,A2,A2,A2,A1,82.0,A1
A227,A0,A0,72.0,A0,A0,A1,A1,A2,A3,85.3,A0
A228,A0,A1,35.0,A0,A0,A2,A2,A2,A1,99.25,A0
,A1,A0,72.0,A0,A1,A1,A1,A2,A0,84.45,A0
A230,A0,A1,,A1,A2,A1,A2,A1,A3,24.8,
A231,A0,A1,5.0,A0,A0,A1,A2,A1,A2,51.0,
A232,A0,A1,2.0,A0,A0,A2,A2,A2,A1,90.4,A1
A233,A0,A1,35.0,A0,A0,A0,A0,A0,A2,19.15,
A234,A1,A0,66.0,A0,A1,A1,A1,A1,A3,70.85,A0
A235,A0,A0,71.0,A0,A1,A0,A0,A0,A3,24.7,A0
A236,A0,A1,62.0,A0,A0,A0,A0,A0,A0,19.2,
A237,A0,A1,41.0,A0,A0,A0,A0,A0,A2,19.75,A0
A238,A0,A0,61.0,A1,A2,A1,A2,A2,A2,62.15,A0
A239,A0,A0,72.0,A0,A1,A2,A1,A2,A3,116.85,A0
A240,A0,A0,23.0,A0,A0,A0,A0,A0,A2,19.65,A0
A241,A1,A0,50.0,A0,A1,A2,A1,A2,A3,108.75,
A242,A0,A0,67.0,A0,A1,A1,A1,A2,A2,75.1,A0
A243,A0,A0,51.0,A0,A1,A2,A1,A2,A0,110.05,A0
A244,A0,A0,70.0,A0,A0,A1,A1,A1,A0,64.95,A0
A245,A0,A0,34.0,A0,A1,A0,A0,A0,A0,25.6,A0
A246,A0,A1,22.0,A0,A0,A0,A0,A0,A0,20.15,A0
A247,A0,A0,64.0,A0,A1,A2,A1,A2,A1,111.45,A0
A248,A0,A0,23.0,A0,A0,A1,A1,A1,A2,66.25,A0
A249,A1,A1,9.0,A0,A1,A2,A2,A1,A1,74.55,A1
A250,A0,A1,4.0,A0,A0,A1,A2,A1,A2,45.3,A1
A251,A0,A0,24.0,A0,A1,A1,A1,A1,A1,64.35,
A252,A1,A1,1.0,A0,A0,A2,A2,A1,A1,70.05,A0
A253,A1,A0,58.0,A1,A2,A1,A1,A2,A1,45.3,A1
A254,A1,A0,,A0,A1,A2,A1,A2,A1,107.45,A0
A255,A0,A0,15.0,A0,A1,A1,A2,A1,A3,59.65,A0
A256,A1,A0,23.0,A0,A1,A2,A1,A2,A1,104.45,A0
A257,A0,A0,71.0,A0,A0,A1,A2,A2,A0,77.55,A0
A258,A0,A1,11.0,A0,A0,A0,A0,A0,A0,20.05,A0
A259,A1,A1,-363.268111869666,A0,A0,A2,A2,A2,A1,91.5,A0
A260,A0,A1,15.0,A0,A1,A2,A1,A1,A1,91.0,A0
A261,A0,A1,28.0,A0,A1,A1,A2,A1,A0,54.9,A0
A262,A0,A0,68.0,A0,A1,A2,A1,A2,A3,114.9,A0
A263,A0,A0,14.0,A0,A0,A2,A2,A2,A1,78.1,A0
A264,A0,A1,46.0,A0,A1,A2,A2,A1,A0,89.15,A0
A265,A0,A0,7.0,A0,A0,A1,A2,A2,A0,69.7,A0
A266,A1,A0,,A0,A1,A2,A1,A2,A1,110.85,A1
A267,A0,A1,12.0,A0,A0,A0,A0,A0,A2,20.1,A0
A268,A1,A0,70.0,A0,A1,A2,A1,A2,A3,105.55,A0
A269,A0,A1,13.0,A0,A1,A1,A2,A2,A1,78.75,A0
A270,A0,A1,66.0,A0,A1,A1,A1,A2,A0,90.05,A0
A271,A0,A1,24.0,A0,A0,A1,A2,A1,A1,54.95,A0
A272,A0,A1,48.0,A0,A1,A2,A2,A2,A1,103.85,A0
A273,A0,A1,6.0,A0,A0,A2,A1,A2,A2,85.95,A0
A274,A0,A1,18.0,A0,A0,A2,A2,A1,A1,71.1,A0
A275,A0,A0,23.0,A0,A0,A0,A0,A0,A0,19.3,A0
A276,A0,A0,46.0,A0,A1,A0,A0,A0,A1,24.9,A0
A277,A1,A1,35.0,A0,A1,A2,A1,A2,A1,108.35,A0
A278,A0,A0,57.0,A0,A1,A2,A2,A2,A0,100.75,A0
A279,A0,A1,1.0,A0,A0,A2,A2,A2,A1,81.95,A1
A280,A0,A1,1.0,A0,A0,A2,A2,A2,A1,79.25,A1
A281,A0,A0,47.0,A0,A1,A2,A1,A1,A1,87.2,A0
A282,A0,A0,48.0,A1,A2,A1,A2,A2,A0,45.0,A0
A283,A0,A1,1.0,A0,A0,A2,A2,A1,A1,78.95,A1
A284,A0,A0,3.0,A0,A0,A2,A2,A1,A1,69.55,A0
A285,A0,A1,3.0,A0,A0,A2,A1,A2,A1,90.4,A0
A286,A0,A0,64.0,A0,A0,A0,A0,A0,A3,19.7,A0
A287,A0,A0,32.0,A1,A2,A1,A1,A1,A1,35.15,A0
A288,A0,A1,33.0,A0,A1,A2,A1,A2,A1,100.0,A0
A289,A0,A1,60.0,A1,A2,A1,A1,A1,A3,39.6,A0
A290,A0,A0,17.0,A0,A0,A0,A0,A0,A3,19.9,A0
A291,A0,A0,43.0,A0,A0,A1,A2,A2,A1,78.8,A0
A292,A1,A0,45.0,A0,A1,A2,A1,A1,A3,98.7,A0
A293,A0,A0,33.0,A0,A0,A0,A0,A0,A2,20.1,A0
A294,A0,A0,72.0,A0,A1,A1,A1,A2,A0,85.45,A0
A295,A0,A1,52.0,A0,A1,A2,A2,A2,A1,109.3,A0
A296,A1,A0,27.0,A0,A0,A2,A2,A1,A1,70.55,A0
A297,A0,A1,12.0,A0,A1,A2,A2,A1,A1,76.6,A0
,A0,A1,1.0,A0,A0,A0,A0,A0,A2,20.6,
A299,A1,A0,55.0,A0,A1,A2,A1,A1,A1,85.45,
A300,A0,A0,66.0,A0,A1,A2,A1,A2,A1,104.05,A1
A301,A0,A1,10.0,A1,A2,A1,A2,A2,A2,33.9,A1
A302,A0,A1,9.0,A0,A0,A0,A0,A0,A2,20.4,
A303,A0,A0,32.0,A0,A1,A2,A2,A1,A1,79.25,A0
A304,A0,A0,67.0,A0,A1,A1,A1,A1,A0,70.9,A0
A305,A1,A0,65.0,A0,A1,A2,A1,A2,A3,108.8,A0
A306,A0,A1,30.0,A0,A1,A0,A0,A0,A3,25.35,A0
A307,A0,A1,3.0,A0,A0,A2,A2,A2,A2,90.7,
A308,A1,A1,70.0,A0,A1,A1,A1,A1,A3,75.5,
A309,A0,A1,2.0,A0,A0,A2,A2,A1,A1,75.7,
A310,A0,A1,45.0,A0,A0,A1,A2,A2,A1,75.95,A0
,A0,A0,9.0,A0,A0,A0,A0,A0,A2,20.35,A0
A312,A1,A1,1.0,A0,A0,A1,A2,A1,A2,50.15,A1
A313,A0,A0,53.0,A0,A0,A1,A1,A1,A0,65.0,A0
A314,A0,A1,57.0,A0,A0,A2,A2,A2,A1,95.25,A1
A315,A0,A0,16.0,A0,A1,A2,A1,A2,A1,100.0,A1
A316,A0,A1,69.0,A0,A1,A1,A1,A2,A0,81.5,A0
A317,A0,A1,1.0,A0,A1,A2,A2,A1,A1,74.9,A1
A318,A0,A1,6.0,A0,A0,A1,A2,A1,A1,49.45,
A319,A0,A0,72.0,A0,A1,A0,A0,A0,A0,25.75,A0
A320,A0,A1,1.0,A0,A0,A1,A2,A2,A1,56.25,A1
A321,A0,A0,51.0,A0,A1,A2,A1,A2,A3,106.8,A0
A322,A0,A0,37.0,A0,A1,A1,A2,A1,A0,62.8,A0
A323,A0,A1,1.0,A1,A2,A1,A2,A1,A1,35.75,A1
A324,A0,A1,44.0,A0,A0,A2,A1,A2,A1,106.05,A0
A325,A0,A0,64.0,A0,A0,A2,A2,A1,A2,73.55,A0
A326,A0,A0,20.0,A0,A1,A2,A1,A2,A3,105.85,A1
A327,A0,A1,24.0,A0,A1,A2,A1,A1,A3,84.85,A0
A328,A0,A0,55.0,A1,A2,A1,A2,A2,A3,54.55,A1
A329,A0,A0,43.0,A0,A1,A1,A2,A2,A0,71.9,A0
A330,A0,A0,64.0,A0,A1,A1,A1,A2,A2,90.6,A0
A331,A1,A0,59.0,A0,A1,A2,A2,A2,A0,88.75,
A332,A0,A0,46.0,A0,A1,A0,A0,A0,A3,24.45,
A333,A0,A0,2.0,A0,A0,A2,A2,A1,A1,70.7,A1
A334,A1,A0,38.0,A0,A1,A2,A1,A2,A1,102.6,
A335,A0,A1,48.0,A0,A1,A2,A1,A2,A0,106.1,
A336,A0,A1,1.0,A1,A2,A1,A2,A1,A2,29.15,A0
A337,A0,A0,53.0,A0,A1,A1,A2,A2,A1,85.7,A0
A338,A0,A1,70.0,A1,A2,A1,A1,A1,A3,44.6,A0
A339,A0,A0,72.0,A0,A1,A2,A1,A2,A0,117.15,A0
A340,A0,A1,56.0,A0,A1,A2,A1,A2,A1,94.45,A1
A341,A1,A0,41.0,A0,A1,A2,A1,A2,A1,111.95,A1
A342,A1,A0,,A0,A1,A1,A2,A2,A1,74.85,A0
A343,A0,A0,20.0,A0,A0,A2,A1,A1,A1,96.55,A0
A344,A0,A0,1.0,A0,A0,A2,A2,A1,A1,70.0,A1
A345,A0,A1,12.0,A0,A1,A2,A2,A1,A1,84.05,A0
A346,A0,A1,1.0,A0,A0,A0,A0,A0,A2,20.45,A0
A347,A1,A0,72.0,A0,A0,A1,A1,A1,A3,74.4,A0
A348,A0,A1,40.0,A0,A1,A0,A0,A0,A2,24.6,A0
A349,A0,A1,2.0,A1,A2,A1,A1,A2,A1,42.6,A1
A350,A0,A0,35.0,A0,A1,A1,A1,A1,A1,69.0,A0
A351,A0,A1,72.0,A0,A1,A2,A1,A2,A3,116.45,A0
A352,A0,A0,32.0,A0,A0,A2,A1,A2,A3,84.15,A1
A353,A0,A0,57.0,A0,A1,A1,A1,A1,A3,65.2,A0
A354,A0,A0,66.0,A0,A0,A0,A0,A0,A1,20.35,
A355,A1,A1,25.0,A0,A1,A2,A1,A2,A1,89.7,A1
A356,A0,A0,29.0,A0,A0,A0,A0,A0,A2,19.85,A0
A357,A0,A0,67.0,A0,A1,A2,A1,A2,A3,111.3,A0
A358,A0,A0,13.0,A0,A0,A2,A2,A2,A1,97.0,A0
A359,A0,A1,4.0,A0,A0,A1,A2,A1,A0,44.8,A0
A360,A0,A1,32.0,A0,A0,A0,A0,A0,A2,20.5,A0
A361,A0,A1,2.0,A0,A1,A1,A1,A1,A2,54.15,A0
A362,A0,A1,1.0,A0,A0,A1,A2,A1,A1,54.5,A0
A363,A0,A1,25.0,A0,A0,A2,A2,A1,A3,74.3,A0
A364,A0,A0,53.0,A0,A0,A2,A1,A2,A3,94.25,
A365,A0,A1,15.0,A0,A0,A0,A0,A0,A2,19.9,A0
A366,A1,A0,50.0,A0,A1,A1,A1,A2,A3,75.15,A0
A367,A0,A0,12.0,A0,A0,A0,A0,A0,A2,19.7,A0
A368,A0,A0,56.0,A0,A0,A1,A1,A1,A3,59.8,A0
A369,A1,A0,,A0,A1,A2,A1,A2,A0,101.5,A1
